Student_ID,Age,Gender,Department,Semester,CGPA,Academic_Score,Attendance_Percentage,Communication_Skill,Programming_Skill,Problem_Solving,Aptitude_Score,Logical_Reasoning,Technical_Test_Score,Coding_Assessment,Industry_Skill,Internship_Count,Internship_Performance,Projects_Completed,Mini_Projects,Major_Project_Score,Certifications,Hackathon_Participation,Workshops_Attended,Technical_Events,Soft_Skill_Rating,Resume_Score,Interview_Score,Skill_Gap,Employability_Percentage,Placement_Package_LPA,Employment_Status
S945,21,Male,EEE,5,,81,73,97,92,78,79,90,47,51,58,3,68,2,6,64,1,7,5,3,86,65,51,23,73.55,4.89,Employed
S553,23,Female,EEE,5,5.78,68,87,81,38,51,46,54,93,49,50,4,85,5,2,72,4,7,6,8,100,45,99,18,71.25,3.37,Employed
S528,22,Male,Mechanical,3,7.15,87,81,49,66,96,53,56,47,77,44,3,97,8,2,98,4,5,4,7,61,90,92,43,67.85,4.4,Not Employed
S038,24,Female,ECE,6,9.41,89,75,76,84,64,94,89,87,40,75,3,85,7,4,92,10,2,7,0,48,72,77,14,88.45,16.7,Employed
S801,19,Male,AI&DS,4,7.44,55,66,81,56,43,62,98,50,97,35,2,76,2,4,56,1,8,6,3,74,63,77,20,60.3,0.0,Not Employed
S682,21,Male,Mechanical,5,9.97,66,61,42,36,38,89,82,38,38,45,2,50,2,1,94,3,7,12,1,68,90,82,21,60.1,0.0,Not Employed
S905,24,Male,ECE,3,9.19,53,91,52,93,93,87,85,40,84,36,4,90,6,3,84,1,8,6,7,56,64,66,17,65.9,3.08,Not Employed
S256,21,Male,Mechanical,6,7.69,85,88,87,59,52,42,52,38,65,97,3,44,5,4,84,7,0,0,5,43,61,40,12,77.65,6.22,Employed
S221,21,Male,CSE,7,7.84,88,99,95,64,88,55,76,54,89,74,4,61,8,5,58,3,2,9,8,83,91,60,14,84.35,7.59,Employed
S896,21,Female,CSE,1,5.93,60,68,61,36,38,91,69,62,94,46,1,88,1,6,78,2,2,1,1,53,74,83,14,62.65,0.0,Not Employed
S212,22,Female,IT,6,7.98,65,83,66,90,76,78,55,62,83,67,2,68,8,4,50,0,4,9,0,73,48,73,2,77.0,5.02,Employed
S273,23,Female,ECE,5,9.86,93,96,82,53,91,61,84,49,96,40,1,83,2,3,51,6,3,7,5,45,60,42,53,57.8,0.0,Not Employed
